0. Corvus_Approach
1. Corvus_ArchiveGetup
2. Corvus_ArchiveLight_up
3. Corvus_ArchiveSitLoop
4. Corvus_ArchiveSitStart
5. Corvus_Healing2_Blend
6. Corvus_Healing2_InPlace
7. Corvus_Healing_Big
8. Corvus_Healing_Little
9. Corvus_Lobby_FirstWakeUp
10. Corvus_Lobby_Idle01
11. Corvus_Lobby_Idle01_End
12. Corvus_Lobby_Idle02
13. Corvus_Lobby_Idle02_End
14. Corvus_LobbyIdle03
15. Corvus_LobbyIdle03_End
16. Corvus_PW_Axe
17. Corvus_PW_Axe_B_V1
18. Corvus_PW_Bat_Roar_A
19. Corvus_PW_Bat_Roar_B
20. Corvus_PW_BigHand_B_End
21. Corvus_PW_BigHand_B_Loop
22. Corvus_PW_BigHand_B_Start
23. Corvus_PW_BigHand_End
24. Corvus_PW_BigHand_Start
25. Corvus_PW_Bloodwhip
26. Corvus_PW_Bloodwhip_End
27. Corvus_PW_Bloodwhip_Jump
28. Corvus_PW_Bloodwhip_Loop
29. Corvus_PW_BloodwhipPull
30. Corvus_PW_Bow_B
31. Corvus_PW_Bow_End
32. Corvus_PW_Bow_Start
33. Corvus_PW_CaneSword_Fast
34. Corvus_PW_CaneSword_SP01
35. Corvus_PW_CaneSword_SP02
36. Corvus_PW_Darts_A_B_V1
37. Corvus_PW_Darts_A_F_V1
38. Corvus_PW_Darts_A_L_V1
39. Corvus_PW_Darts_A_R_V1
40. Corvus_PW_Darts_A_V1
41. Corvus_PW_Darts_B_01
42. Corvus_PW_Darts_B_02
43. Corvus_PW_Darts_B_03
44. Corvus_PW_Darts_B_04
45. Corvus_PW_Darts_B_Start
46. Corvus_PW_DualKnife
47. Corvus_PW_DualKnife_B
48. Corvus_PW_DualKnife_B_Suc
49. Corvus_PW_GiantMaggot_A_V1
50. Corvus_PW_GreatSword
51. Corvus_PW_GreatSword_B
52. Corvus_PW_GreatSwordStep
53. Corvus_PW_Halberds
54. Corvus_PW_Halberds_B
55. Corvus_PW_Hammer_A
56. Corvus_PW_Hammer_A_AI
57. Corvus_PW_Hammer_B_Ver2
58. Corvus_PW_Hammer_B_Ver2_AI
59. Corvus_PW_Knife_A_V1
60. Corvus_PW_Magician_A
61. Corvus_PW_MagicianLV2
62. Corvus_PW_Puppet_V1_A
63. Corvus_PW_Puppet_V1_A_End
64. Corvus_PW_Puppet_V1_B
65. Corvus_PW_Puppet_V1_Start
66. Corvus_PW_Researcher
67. Corvus_PW_Researcher_B
68. Corvus_PW_Scythe
69. Corvus_PW_Scythe_B
70. Corvus_PW_Shield
71. Corvus_PW_Shield_B
72. Corvus_PW_Shield_B_Suc
73. Corvus_PW_ShieldBlock
74. Corvus_PW_Slide_B
75. Corvus_PW_Slide_L
76. Corvus_PW_Slide_R
77. Corvus_PW_TwinSwords_1
78. Corvus_PW_TwinSwords_2
79. Corvus_PW_TwinSwords_3
80. Corvus_PW_TwinSwords_4
81. Corvus_PW_TwinSwords_B
82. Corvus_PW_UrdSword01
83. Corvus_PW_UrdSword_B_End_Ver2
84. Corvus_PW_UrdSword_B_Loop_Ver2
85. Corvus_PW_UrdSword_B_Start_Ver2
86. Corvus_PW_VargSword_A
87. Corvus_PW_VargSword_B
88. Corvus_PW_VargSword_Start
89. Corvus_QuicklyRecoverUP_B
90. Corvus_QuicklyRecoverUP_F
91. Corvus_QuicklyRecoverUP_L
92. Corvus_QuicklyRecoverUP_R
93. Corvus_Raven_ClawCommon_ChargeLoop
94. Corvus_Raven_ClawCommon_ChargeStep
95. Corvus_Raven_ClawCommonV2_ChargeStart
96. Corvus_Raven_ClawLong_ChargeFull
97. Corvus_Raven_ClawLong_L01
98. Corvus_Raven_ClawLong_L02
99. Corvus_Raven_ClawLong_PlunderAttack1
100. Corvus_Raven_ClawLong_PlunderAttack2TTT
101. Corvus_Raven_ClawNear
